country_name,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10
Belgium,109.71,109.53,109.53,109.45,109.52,109.76,109.83,109.42,109.64,109.46,109.49,109.97,110.21,110.51,110.88,111.05,111.3,112.25,112.83,112.55,114.2,115.63,115.74,118.32,119.07,119.69,120.09,121.01,122.04,123.05,124.05,125.24,128.21
Albania,101.214122836159,101.785074128255,101.354055834227,100.50250429434,99.9274311446898,99.4075927515293,99.632961970733,100.003018661882,100.246588479587,99.7177765598433,100,101.255444857852,102.36855730074,103.044801520258,103.293244078182,102.351083379654,101.523009782401,101.635193084439,102.010683489602,102.516671142314,102.669856362496,102.845626999363,103.716850314845,105.033009083239,106.372145450434,108.894527887823,109.682337026866,109.175878126257,109.016690786585,109.257557336013,110.13353025732,110.806505449765,111.209277727822
Iceland,167.9326,168.302,169.1355,170.0411,170.8013,171.0439,171.8155,172.4768,173.2141,173.2962,173.6438,173.5516,174.738,175.6005,176.8266,177.5977,178.054,178.3352,179.1543,179.9815,181.0733,181.6901,182.5203,183.4165,185.5504,187.3073,189.6122,191.0773,193.7558,196.0433,196.5954,196.7887,198.1039
Honduras,338.8,339.8,341.1,338.9,340.4,342.8,343.4,344.5,346.2,347.8,349.9,351.3,351.9,353.2,354.6,355.3,356.3,357.4,358.8,360.4,362.3,365,368.5,373,374.3,377.8,384.2,387.6,392.7,396.2,396.1,396.6,399.2
Estonia,214.4,212.9,212.1,210.7,212.6,212.6,213.9,213.3,212.2,212.5,212.5,213.9,215.7,215.3,216.1,218.2,220.7,223.1,224.7,227.5,227.1,231.3,238.3,238.1,241.6,248,256.9,261.8,268.9,274.1022,280.4,281.3,278.2
China,101.931,100.6759,99.77939,98.97254,98.97254,98.61395,99.95869,100.138,99.86903,99.24149,99.95869,100.9,101.5,101,100.7,100.6,100.2,100.5,100.6,100.6,101.3,101.7,101.4,101.9,102.5,102.5,102.9,102.7,102.7,103.2,103.1,103.4,103.5
Dominican,99.1000817620938,98.5848938138318,97.7753127522774,97.6649153347927,99.3282364248955,101.197632694303,101.98513427236,102.595999982442,103.276,103.893,104.394,105.404,106.124,106.764,107.206,107.901,108.585,109.168,110.04,110.535,111.244,112.446,113.263,114.602,115.658,116.431,117.544,118.122,118.877,119.468,119.718,120.07,120.405
Denmark,103.6,103.3,103.2,103.1,103.2,104,103.6,103.5,103.7,103.6,103.4,103.6,104.2,104.3,104.7,104.9,105,105.7,105.5,105.8,106.8,107.1,106.6,108.1,109.2,109.9,111.7,112.7,113.6,114.9,114.9,116.4,117.6
Georgia,139.43,140.339,141.6638,141.9516,140.0229,139.3583,139.3248,140.2941,141.4229,142.6767,141.3107,142.903,144.4187,150.4663,151.871,152.8648,153.8774,155.9535,157.1157,157.4984,159.5886,160.5684,161.0087,162.828,164.2517,168.2852,171.3781,173.1846,173.5588,173.9642,174.2068,175.6575,176.5142
Guatemala,140.89,141.57,142.58,142.85,144.86,145.47,146.05,146.28,147.83,148.65,148.64,148.87,149.34,149.84,150,150.24,150.52,151.02,151.33,151.65,152.2,152.94,153.2,153.14,153.79,156.09,156.93,158.98,161.89,163.64,164.76,165.35,166.97
