country_name,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10
Belgium,6.25,44.79,65.1,67.71,57.81,56.77,59.9,56.77,49.74,68.75,65.62,63.75,66.56,66.56,75.1,63.13,64.38,65.62,63.54,61.2,52.68,53.37,57.64,46.64,46.51,37.5,35.94,35.94,34.38,34.38,34.38,34.38,34.38
Albania,3.12,58.85,68.23,73.44,65.62,64.06,57.81,58.33,59.9,66.15,66.15,64.27,67.4,68.65,62.4,61.35,47.81,47.81,44.06,47.71,48.96,50.52,53.65,51.04,57.16,43.09,43.08,28.12,23.96,17.71,17.71,17.71,17.71
Iceland,9.38,39.06,61.46,57.29,51.56,51.56,57.55,53.65,53.65,60.42,60.42,58.23,56.15,56.15,61.35,54.17,54.17,44.27,52.6,52.6,51.56,50.0,52.6,54.17,49.83,34.38,32.29,32.29,26.04,19.79,19.79,12.5,14.58
Honduras,0.0,23.96,78.65,78.65,81.25,81.25,78.12,67.19,67.71,69.27,69.27,72.92,60.94,62.5,66.35,71.25,71.25,72.19,72.19,77.4,68.05,57.2,58.65,49.99,47.06,45.58,45.47,52.73,49.44,45.75,47.28,45.16,43.23
Estonia,0.0,30.73,61.98,54.17,39.06,35.94,34.38,38.54,38.54,38.54,47.92,45.73,41.01,70.35,66.14,44.35,41.24,29.61,31.06,34.1,36.11,45.4,43.06,47.58,47.5,52.14,44.32,44.32,33.9,31.77,31.77,31.77,31.77
China,58.85,64.06,53.39,67.45,68.49,68.49,68.49,70.57,59.11,65.62,75.21,75.21,75.21,59.01,76.61,70.36,74.79,75.78,74.74,74.74,77.86,71.61,74.74,79.43,71.09,71.09,81.77,81.77,81.77,78.65,78.65,76.56,72.92
Dominican,0.0,9.38,66.67,77.6,68.23,63.54,65.62,65.62,59.38,57.81,56.77,60.94,63.44,63.44,63.44,59.48,65.1,63.54,62.5,65.1,52.08,46.44,46.32,46.27,46.21,25.52,22.4,20.83,20.83,15.62,15.62,18.75,18.75
Denmark,0.0,46.87,54.69,63.02,56.77,56.25,52.6,52.34,45.83,56.25,58.33,66.25,64.17,62.08,63.13,61.23,57.86,51.97,53.96,39.06,37.5,40.4,43.88,45.13,26.86,25.3,25.0,25.0,29.17,25.0,25.0,28.12,29.17
Georgia,10.94,38.02,70.83,76.56,53.12,49.48,52.6,54.17,54.69,56.77,69.27,69.27,62.5,58.54,59.79,59.79,59.79,37.6,55.0,52.92,48.75,46.35,44.96,47.92,51.04,47.4,31.77,24.48,22.92,22.92,19.79,19.79,19.79
Guatemala,6.25,25.52,65.62,76.56,76.56,76.56,72.92,72.92,47.66,47.66,47.66,54.64,44.01,53.23,47.08,55.1,53.54,56.56,56.56,72.45,59.95,55.57,61.3,53.64,63.4,58.07,52.08,55.21,53.91,48.7,40.89,47.14,47.14
Chile,0.0,18.75,65.62,68.49,68.49,78.39,78.39,78.39,78.39,78.39,75.78,80.16,81.41,82.66,85.47,82.66,87.55,80.85,63.43,58.01,47.41,44.18,43.95,38.98,40.0,39.67,36.33,37.15,37.09,37.04,36.22,32.29,28.88
Indonesia,16.15,28.13,58.07,59.64,55.99,52.86,51.3,58.07,45.57,45.57,52.34,57.97,63.18,68.39,68.39,68.39,68.39,68.3,69.48,69.4,55.08,56.38,58.97,61.04,60.17,54.79,52.19,52.38,44.71,51.69,50.03,53.3,53.28
Hungary,6.25,40.63,64.06,65.36,58.07,54.43,48.18,37.5,39.58,65.1,61.98,64.48,65.73,71.46,70.62,69.23,57.44,41.67,41.67,40.78,43.83,38.73,44.45,49.54,47.25,30.73,33.85,33.85,33.85,13.54,16.67,16.67,16.67
Greece,0.0,30.73,64.06,58.33,52.6,64.06,67.19,67.19,68.75,80.21,81.25,81.67,81.88,89.69,87.92,79.24,67.58,68.49,72.5,78.56,77.12,77.09,79.65,80.24,76.99,65.99,63.89,46.39,43.75,43.75,38.54,38.54,38.54
Cyprus,0.0,40.62,80.21,83.33,67.71,58.85,60.42,62.5,61.98,76.56,76.56,87.4,85.0,79.79,73.54,76.35,68.32,66.88,70.15,66.54,62.65,62.54,64.93,66.06,64.26,64.24,60.34,58.25,42.71,42.71,42.71,44.27,44.27
Korea,30.21,51.56,72.92,51.82,58.07,51.82,51.82,50.26,55.47,52.34,55.99,63.54,63.54,62.92,64.17,59.48,59.48,58.18,62.5,59.13,58.43,57.72,58.92,59.87,57.22,56.77,55.43,40.09,39.87,36.46,41.67,41.67,36.46
Rwanda,11.98,27.34,76.04,70.31,71.87,70.83,71.87,73.44,65.1,65.1,58.07,43.23,63.44,69.17,67.6,62.92,58.23,60.31,60.31,48.85,51.35,51.35,51.82,63.41,63.8,41.32,42.29,43.78,43.63,36.13,33.3,30.97,35.31
Netherlands,2.08,37.5,66.67,62.5,59.9,52.08,51.3,55.21,59.9,64.06,64.06,69.48,70.73,69.9,69.9,65.73,66.98,48.44,53.65,55.73,52.38,60.13,64.24,63.16,54.78,41.11,41.1,39.02,35.9,35.9,35.9,35.9,33.33
Luxembourg,0.0,38.54,71.35,63.54,55.21,47.4,52.6,55.73,55.73,65.62,63.02,59.27,61.35,62.6,59.69,60.94,57.29,57.29,46.87,46.87,52.85,52.75,52.75,57.75,52.36,39.92,39.92,39.92,33.67,31.59,31.59,31.59,27.08
Slovenia,0.0,32.81,79.69,58.59,47.4,47.4,50.0,50.0,50.0,69.79,72.92,75.42,67.29,71.98,73.02,61.04,57.35,49.2,50.23,50.52,62.57,59.24,57.34,58.76,49.09,24.17,22.6,20.83,20.83,22.92,22.92,22.92,22.92
Mexico,0.0,6.77,53.65,59.11,52.6,52.6,52.6,50.52,62.5,62.5,62.5,66.88,57.71,48.85,46.51,47.76,47.76,49.01,63.02,44.01,44.01,44.01,38.8,44.06,42.73,40.77,34.23,30.59,31.37,40.1,36.98,29.69,29.69
Pakistan,9.38,34.9,62.5,67.19,55.73,58.85,51.3,49.22,67.45,58.07,67.45,67.45,60.89,62.14,66.82,66.72,62.29,69.58,71.24,70.85,57.67,54.19,60.69,59.74,65.5,65.1,57.72,57.41,57.15,47.22,46.95,53.01,52.95
Latvia,3.65,45.31,59.9,54.43,55.47,53.91,52.34,49.22,40.1,58.85,58.85,60.1,57.5,58.75,58.75,57.81,49.48,40.1,40.1,38.02,43.21,53.49,53.61,52.79,49.01,41.34,26.56,25.0,25.0,21.87,19.79,17.71,17.71
Norway,6.25,31.25,54.69,42.71,38.02,38.02,39.58,38.02,34.9,48.96,53.12,58.49,65.26,64.43,67.29,62.08,56.82,54.22,49.74,52.6,35.94,39.06,58.33,54.69,27.6,26.04,27.08,27.08,27.08,27.08,27.08,27.08,27.08
Moldova,3.12,34.38,65.1,71.88,69.79,66.15,56.77,52.6,51.56,51.56,58.33,52.08,52.08,59.06,57.19,64.69,66.77,58.44,53.75,47.5,45.8,47.76,50.83,48.27,46.94,46.92,33.85,28.12,28.12,23.44,23.44,28.12,23.44
Portugal,5.21,47.92,69.27,65.1,59.38,61.2,60.16,60.94,58.85,63.54,63.54,67.08,74.58,73.54,71.46,70.62,70.62,68.54,68.75,67.19,59.38,58.33,61.46,47.4,44.08,34.15,34.15,23.96,25.52,25.52,25.52,25.52,20.83
US,8.33,37.5,66.15,66.15,64.06,64.84,63.8,61.2,64.06,63.54,68.44,68.44,66.35,64.48,61.04,62.5,62.06,53.63,55.78,54.37,51.12,49.77,48.96,48.39,47.22,41.1,37.87,36.01,39.1,38.4,39.41,34.7,34.66
Turkey,18.23,20.31,61.98,65.1,66.93,66.93,58.07,73.18,72.14,65.89,69.01,76.51,66.04,66.04,76.67,81.88,66.95,57.92,35.38,39.46,37.87,35.09,34.73,34.01,35.18,24.48,24.48,22.4,20.83,20.83,20.83,20.83,20.83
Vietnam,33.85,36.98,71.61,57.81,57.81,53.12,64.32,64.32,53.65,48.18,57.55,58.33,66.67,60.36,52.97,64.43,68.59,65.47,68.59,71.61,62.76,64.84,65.62,65.1,64.06,62.5,51.04,38.02,38.02,38.02,37.24,37.24,35.68
Switzerland,3.12,29.17,60.42,57.81,48.96,46.61,48.7,44.01,39.58,57.29,58.85,60.31,60.31,60.31,63.65,56.35,53.23,49.58,50.4,53.29,52.95,52.73,52.64,53.76,54.24,37.5,27.08,25.0,23.44,18.75,18.75,15.62,15.62
Uganda,11.46,11.46,68.23,72.4,69.27,67.71,70.83,69.27,54.69,40.1,38.28,39.58,42.19,43.96,43.96,33.54,45.42,70.94,64.69,64.69,61.77,64.38,59.79,50.83,46.35,43.23,40.1,30.53,33.63,25.0,24.59,24.59,24.58
Thailand,0.0,20.31,71.09,72.14,62.24,55.47,53.91,50.78,55.47,49.22,57.03,62.76,43.75,46.88,46.88,60.83,57.71,59.79,69.79,62.55,64.64,66.2,59.37,61.98,55.73,55.99,51.3,43.49,38.54,27.6,24.48,30.73,17.19
Ukraine,2.08,36.98,68.75,73.96,60.16,45.31,57.55,61.2,60.16,61.72,61.72,60.42,55.21,59.58,65.52,57.71,58.12,52.4,51.76,45.42,52.43,52.74,53.29,51.19,53.32,44.85,35.34,35.34,34.37,34.37,34.37,34.37,34.37
